                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.0000000000                        -1.3014951070
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.1000000000                        -1.2864780179
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.2000000000                        -1.2424484459
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.3000000000                        -1.1723217701
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.4000000000                        -1.0805585886
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.5000000000                        -0.9726449221
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.6000000000                        -0.8545100024
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.7000000000                        -0.7319765536
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.8000000000                        -0.6103188813
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.9000000000                        -0.4939509866
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        1.0000000000                        -0.3862710271
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.1000000000                         0.0003971220
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.2000000000                         0.0014665585
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.3000000000                         0.0028625426
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.4000000000                         0.0040720422
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.5000000000                         0.0044951534
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.6000000000                         0.0035317238
