                                                    wave       xi      mxi                   q    2-pion-g_L7_XI4_Q1_NQ11_NX25_NPHI
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.3323165687
                  cdb-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.2806578777
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        3        0        1.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.0000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.1000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.2000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.3000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.4000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.5000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.6000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.7000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.8000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        0.9000000000                         0.0000000000
                  cdb-empot-no3nf-E=search-cdep-j12max=6        4        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.0000000000                      -118.7214605159
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.1000000000                      -118.3216479994
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.2000000000                      -117.1249454939
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.3000000000                      -115.1425092025
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.4000000000                      -112.3974584286
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.5000000000                      -108.9296714195
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.6000000000                      -104.7995026758
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.7000000000                      -100.0880791275
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.8000000000                       -94.8972922368
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        0.9000000000                       -89.3433188491
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        0        0        1.0000000000                       -83.5471216741
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.0000000000                        -0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.1000000000                        -0.0139852320
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.2000000000                        -0.0534975637
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.3000000000                        -0.1116673545
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.4000000000                        -0.1785151805
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.5000000000                        -0.2427670073
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.6000000000                        -0.2937610101
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.7000000000                        -0.3231080007
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.8000000000                        -0.3257666107
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        0.9000000000                        -0.3004840627
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        1        0        1.0000000000                        -0.2495861545
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.6000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.7000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.8000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        0.9000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        2        0        1.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.0000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.1000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.2000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.3000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.4000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.5000000000                         0.0000000000
 cdb-empot-tm99l4469p16n5-cdb2000-E=search-cdep-j12max=6        3        0        0.6000000000                         0.0000000000
