                                                    wave       xi      mxi                   q    2-pion-q_L7_XI4_Q1_NQ11_NX25_NPHI
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.0000000000                        -1.2932261077
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.1000000000                        -1.2779148000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.2000000000                        -1.2330405098
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.3000000000                        -1.1616258910
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.4000000000                        -1.0682902684
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.5000000000                        -0.9587047521
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.6000000000                        -0.8389830393
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.7000000000                        -0.7151081337
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.8000000000                        -0.5924737223
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        0.9000000000                        -0.4755642129
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        0        0        1.0000000000                        -0.3677998952
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.1000000000                         0.0004572529
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.2000000000                         0.0016988099
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.3000000000                         0.0033554890
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.4000000000                         0.0048797008
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.5000000000                         0.0056314513
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.6000000000                         0.0049709435
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.7000000000                         0.0023426407
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.8000000000                        -0.0026624508
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        0.9000000000                        -0.0102716981
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        1        0        1.0000000000                        -0.0205220825
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.0000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.1000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.2000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.3000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.4000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.5000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.6000000000                         0.0000000000
                  ich-lo-cut=1-no3nf-E=search-cdep-empot        2        0        0.7000000000                         0.0000000000
