                wave       xi      mxi                   q    g_L7_XI4_Q1_NQ51_NX5_NPHI10_NP52    g_L7_XI4_Q1_NQ51_NX5_NPHI15_NP52    g_L7_XI4_Q1_NQ51_NX5_NPHI20_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI10_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI15_NP52    q_L7_XI4_Q1_NQ51_NX5_NPHI20_NP52
          av18+empot        2        0        0.2600000000                       -6.7132005346                       -8.5392969639                       -9.0160368578                        0.9874818581                        1.1440213991                        1.2110441460
          av18+empot        2        0        0.2800000000                       -7.5852201789                       -9.3995533826                       -9.8706900989                        1.1153074250                        1.2703729750                        1.3366497984
          av18+empot        2        0        0.3000000000                       -8.5081329064                      -10.3100525615                      -10.7752749662                        1.2511992810                        1.4047101023                        1.4701989338
          av18+empot        2        0        0.3200000000                       -9.4792246110                      -11.2681218271                      -11.7271384209                        1.3948798523                        1.5467605357                        1.6114218017
          av18+empot        2        0        0.3400000000                      -10.4956652497                      -12.2709735961                      -12.7235130514                        1.5460597622                        1.6962403572                        1.7600370483
          av18+empot        2        0        0.3600000000                      -11.5545208198                      -13.3157170762                      -13.7615286481                        1.7044390566                        1.8528551661                        1.9157528909
          av18+empot        2        0        0.3800000000                      -12.6527654684                      -14.3993701064                      -14.8382239206                        1.8697084406                        2.0163012804                        2.0782683033
          av18+empot        2        0        0.4000000000                      -13.7872936532                      -15.5188710563                      -15.9505582772                        2.0415505177                        2.1862669423                        2.2472742068
          av18+empot        2        0        0.4200000000                      -14.9549322729                      -16.6710907058                      -17.0954235884                        2.2196410228                        2.3624335185                        2.4224546552
          av18+empot        2        0        0.4400000000                      -16.1524526916                      -17.8528440326                      -18.2696558641                        2.4036500416                        2.5444766886                        2.6034880102
          av18+empot        2        0        0.4600000000                      -17.3765825867                      -19.0609018370                      -19.4700467732                        2.5932432087                        2.7320676144                        2.7900480966
          av18+empot        2        0        0.4800000000                      -18.6240175539                      -20.2920021401                      -20.6933549439                        2.7880828777                        2.9248740833                        2.9818053336
          av18+empot        2        0        0.5000000000                      -19.8914324096                      -21.5428612966                      -21.9363169857                        2.9878292576                        3.1225616194                        3.1784278347
          av18+empot        2        0        0.5200000000                      -21.1754921375                      -22.8101847694                      -23.1956581797                        3.1921415089                        3.3247945576                        3.3795824710
          av18+empot        2        0        0.5400000000                      -22.4728624299                      -24.0906775177                      -24.4681027918                        3.4006787964                        3.5312370768                        3.5849358946
          av18+empot        2        0        0.5600000000                      -23.7802197845                      -25.3810539588                      -25.7503839661                        3.6131012931                        3.7415541852                        3.7941555158
          av18+empot        2        0        0.5800000000                      -25.0942611190                      -26.6780474666                      -27.0392531641                        3.8290711323                        3.9554126583                        4.0069104330
          av18+empot        2        0        0.6000000000                      -26.4117128766                      -27.9784193788                      -28.3314891204                        4.0482533052                        4.1724819231                        4.2228723109
          av18+empot        2        0        0.6200000000                      -27.7293395975                      -29.2789674889                      -29.6239062904                        4.2703165022                        4.3924348894                        4.4417162056
          av18+empot        2        0        0.6400000000                      -29.0439519403                      -30.5765340042                      -30.9133627725                        4.4949338952                        4.6149487237                        4.6631213342
          av18+empot        2        0        0.6600000000                      -30.3524141399                      -31.8680129577                      -32.1967676915                        4.7217838618                        4.8397055672                        4.8867717896
          av18+empot        2        0        0.6800000000                      -31.6516508968                      -33.1503570658                      -33.4710880348                        4.9505506489                        5.0663931965                        5.1123571970
          av18+empot        2        0        0.7000000000                      -32.9386536939                      -34.4205840293                      -34.7333549378                        5.1809249782                        5.2947056253                        5.3395733154
          av18+empot        2        0        0.7200000000                      -34.2104865443                      -35.6757822769                      -35.9806694198                        5.4126045914                        5.5243436511                        5.5681225817
          av18+empot        2        0        0.7400000000                      -35.4642911751                      -36.9131161594                      -37.2102075745                        5.6452947383                        5.7550153435                        5.7977145995
          av18+empot        2        0        0.7600000000                      -36.6972916586                      -38.1298305991                      -38.4192252228                        5.8787086086                        5.9864364793                        6.0280665735
          av18+empot        2        0        0.7800000000                      -37.9067985013                      -39.3232552099                      -39.6050620397                        6.1125677077                        6.2183309220                        6.2589036911
          av18+empot        2        0        0.8000000000                      -39.0902122086                      -40.4908078998                      -40.7651451689                        6.3466021799                        6.4504309510                        6.4899594518
          av18+empot        2        0        0.8200000000                      -40.2450263416                      -41.6299979731                      -41.8969923410                        6.5805510812                        6.6824775398                        6.7209759480
          av18+empot        2        0        0.8400000000                      -41.3688300863                      -42.7384287521                      -42.9982145140                        6.8141626020                        6.9142205867                        6.9517040977
          av18+empot        2        0        0.8600000000                      -42.4593103557                      -43.8137997368                      -44.0665180552                        7.0471942449                        7.1454190994                        7.1819038322
          av18+empot        2        0        0.8800000000                      -43.5142534497                      -44.8539083253                      -45.0997064864                        7.2794129576                        7.3758413375                        7.4113442410
          av18+empot        2        0        0.9000000000                      -44.5315462928                      -45.8566511177                      -46.0956818147                        7.5105952257                        7.6052649132                        7.6398036766
          av18+empot        2        0        0.9200000000                      -45.5091772773                      -46.8200248254                      -47.0524454698                        7.7405271262                        7.8334768545                        7.8670698203
          av18+empot        2        0        0.9400000000                      -46.4452367343                      -47.7421268113                      -47.9680988745                        7.9690043453                        8.0602736325                        8.0929397139
          av18+empot        2        0        0.9600000000                      -47.3379170572                      -48.6211552832                      -48.8408436687                        8.1958321638                        8.2854611557                        8.3172197577
          av18+empot        2        0        0.9800000000                      -48.1855125041                      -49.4554091658                      -49.6689816128                        8.4208254107                        8.5088547342                        8.5397256783
          av18+empot        2        0        1.0000000000                      -48.9864187010                      -50.2432876735                      -50.4509141924                        8.6438083899                        8.7302790152                        8.7602824683
           cdb+empot        0        0        0.0000000000                     -374.9487593305                     -374.7953756084                     -374.7755229223                        7.0282309227                        6.9916477921                        6.9864391167
           cdb+empot        0        0        0.0200000000                     -374.9518200030                     -374.7984679587                     -374.7786189548                        7.0294358116                        6.9928516055                        6.9876425813
           cdb+empot        0        0        0.0400000000                     -374.9609734946                     -374.8077166541                     -374.7878787379                        7.0330476727                        6.9964602803                        6.9912502194
           cdb+empot        0        0        0.0600000000                     -374.9761343679                     -374.8230367644                     -374.8032174645                        7.0390581030                        7.0024655334                        6.9972537773
           cdb+empot        0        0        0.0800000000                     -374.9971606920                     -374.8442871943                     -374.8244942413                        7.0474531440                        7.0108536047                        7.0056395433
           cdb+empot        0        0        0.1000000000                     -375.0238547368                     -374.8712713611                     -374.8515127637                        7.0582133511                        7.0216053239                        7.0163884140
           cdb+empot        0        0        0.1200000000                     -375.0559639343                     -374.9037381356                     -374.8840222501                        7.0713138899                        7.0346962028                        7.0294759857
           cdb+empot        0        0        0.1400000000                     -375.0931821003                     -374.9413830365                     -374.9217186308                        7.0867246576                        7.0500965537                        7.0448726716
           cdb+empot        0        0        0.1600000000                     -375.1351509039                     -374.9838496691                     -374.9642459781                        7.1044104305                        7.0677716304                        7.0625438414
           cdb+empot        0        0        0.1800000000                     -375.1814615733                     -375.0307313944                     -375.0111981665                        7.1243310331                        7.0876817926                        7.0824499841
